 aaa, a
parangtritis, parangtritis  
parkirkaburajadulu, parkir kabur aja dulu
pasangannya, pasangannya
pasilitasnya, fasilitasnya  
pasrahtapipenasaran, pasrah tapi penasaran
passwordnya, passwordnya
patrickkluivertout, patrick kluivert out  
patriotisme, patriotisme
peaceloveandgawl, peace love and gawl  
pekerjaannya, pekerjaannya
pelajaridaman, pelajar idaman
pelanggaran, pelanggaran
pelarangandibuat, pelarangan dibuat
peliharaannya, peliharaannya
pelopornyakalau, pelopornya kalau
peluangkerja, peluang kerja
pemalsuannya, pemalsuannya
pemangkasan, pemangkasan
pembagiannya, pembagiannya
pembangunan, pembangunan
pembantaian, pembantaian
pembelaanya, pembelaannya  
pemberantasan, pemberantasan
pemberdayaan, pemberdayaan
pemberontakan, pemberontakan
pembisiknya, pembisiknya
pemblokiran, pemblokiran
pemebenaran, pembenaran  
pemenangnya, pemenangnya
pemerentahnya, pemerintahnya  
pemeriksaan, pemeriksaan
pemerintahan, pemerintahan
pemerintahannya, pemerintahannya
pemerintahbersamasritex, pemerintah bersama sritex  
pemerintahindonesia, pemerintah indonesia
pemerintahkaya, pemerintah kaya
pemerintahnya, pemerintahnya
pemersatubangsa, pemersatu bangsa
pemersatubangsabebas, pemersatu bangsa bebas
pemikirannya, pemikirannya
pemimpinnya, pemimpinnya
pemudapancasila, pemuda pancasila
penasaranku, penasaranku
pencapaiannya, pencapaiannya
pencoblosnya, pencoblosnya
pencopotannya, pencopotannya
penculikanhilang, penculikan hilang
penculiknya, penculiknya
pencurimobil, pencuri mobil
pendaftaran, pendaftaran
pendaftarannya, pendaftarannya
pendapatannya, pendapatannya
pendapatnya, pendapatnya
pendekatanmu, pendekatanmu
penderitaan, penderitaan
pendidikannya, pendidikannya
pendirianperusahaan, pendirian perusahaan
pendirianpt, pendirian pt
penduduknya, penduduknya
pendukungnya, pendukungnya
penelitianku, penelitianku
penerbangan, penerbangan
pengajarnya, pengajarnya
pengalamannya, pengalamannya
pengambilan, pengambilan
pengangguran, pengangguran
penganggurancmn, pengangguran cmn  
pengangkatan, pengangkatan
pengaruhnya, pengaruhnya
pengaspalan, pengaspalan
pengawalnya, pengawalnya
pengawasnya, pengawasnya
pengelolaan, pengelolaan
pengeluaran, pengeluaran
pengembangan, pengembangan
pengemplang, pengemplang
pengennnnmoga, pengen moga  
pengetahuan, pengetahuan
penggeraknya, penggeraknya
penghabisan, penghabisan
penghargaan, penghargaan
penghasilan, penghasilan
penghasilannya, penghasilannya
penghidupan, penghidupan
penghilangan, penghilangan
penghuninya, penghuninya
pengkhianat, pengkhianat
pengkhiatny, pengkhianatnya  
pengkultusan, pengkultusan
pengorbanan, pengorbanan
pengunduran, pengunduran
peningkatan, peningkatan
penipuannya, penipuannya
penipuberkedokagen, penipu berkedok agen
penjahatnya, penjahatnya
penjahatrentalmobil, penjahat rental mobil
penjajahpun, penjajah pun
penjaragelap, penjara gelap
penjasorkes, pendidikan jasmani olahraga kesehatan  
penjelajahan, penjelajahan
penjelasannya, penjelasannya
pensiundari, pensiun dari
penyakitnya, penyakitnya
penyebabnya, penyebabnya
penyeimbang, penyeimbang
penyelamatan, penyelamatan
penyemangat, penyemangat
penyetaraan, penyetaraan
perasaannya, perasaannya
perawatannya, perawatannya
perbandingan, perbandingan
perbanyakan, perbanyakan
perdagangan, perdagangan
perekonomian, perekonomian
perencanaan, perencanaan
perhecticannya, per hecticnya  
perhitungan, perhitungan
peringatandarurat, peringatan darurat
perintahnya, perintahnya
perizinannya, perizinannya
perjalanannya, perjalanannya
perjermanan, per jermanan  
perjuangkan, perjuangkan
perkampungan, perkampungan
perkenalkan, perkenalkan
perkuliahan, perkuliahan
perkumpulan, perkumpulan
perlahanlahan, perlahan-lahan
perlihatkan, perlihatkan
perlindungan, perlindungan
permasalahan, permasalahan
permasalahannya, permasalahannya
permintaaan, permintaan  
permudahkanlah, permudahkanlah
pernikahannya, pernikahannya
perpanjangan, perpanjangan
perpanjulan, perpanjangan  
persetujuan, persetujuan
persiapankerja, persiapan kerja
persiapanmudik, persiapan mudik
persiapannya, persiapannya
persidangan, persidangan
perspective, perspektif
persyaratan, persyaratan
persyaratannya, persyaratannya
pertamatama, pertama-tama
pertaminasarangkoruptor, pertamina sarang koruptor
pertanggungjawaban, pertanggungjawaban
pertanggungjawabkan, pertanggungjawabkan
pertanyaannya, pertanyaannya
pertanyakan, pertanyakan
pertarungan, pertarungan
pertemuanminggu, pertemuan minggu
pertengahan, pertengahan
pertimbangan, pertimbangan
pertimbangin, pertimbangkan  
pertimbangkan, pertimbangkan
pertiwitanah, pertiwi tanah
pertolongan, pertolongan
pertukaranpelajar, pertukaran pelajar
pertumbuhan, pertumbuhan
pertumpahan, pertumpahan
perundangan, perundangan
peruntungan, peruntungan
perusahaannya, perusahaannya
perwakilannya, perwakilannya
pesonaindonesia, pesona indonesia
pesyaratannya, persyaratannya  
petimbangan, pertimbangan  
phillipines, philippines  
pindahannya, pindahannya
pindahnegaralain, pindah negara lain
pinokiojawa, pinokio jawa
pisankurang, pisan kurang  
polisikeamanan, polisi keamanan
politikinterest, politik interest
politiktaikucing, politik tai kucing  
popularitas, popularitas
porakporanda, porak-poranda
portofolionya, portofolionya
positiveeeee, positive
postingannya, postingannya
powerkuasaduit, powerku asa duit  
prabowodiplomasistrategis, prabowo diplomasi strategis
prabowogibranmundurlah, prabowo gibran mundurlah
prabowomenantangrakyat, prabowo menantang rakyat
prabowosudahgagal, prabowo sudah gagal
prabowountukkemanusiaan, prabowo untuk kemanusiaan
preparation, persiapan
prerequisites, prasyarat
presidendan, presiden dan
prestasinya, prestasinya
prioritasin, prioritaskan  
probabilitas, probabilitas
problematik, problematik
processions, prosesi
profesional, profesional
professional, profesional
profilbackground, profil background
programbahasa, program bahasa
programbahasamandarin, program bahasa mandarin
programming, pemrograman
projectsekai, project sekai  
proletariat, proletariat
promotornya, promotornya
propagandanya, propagandanya
prosecutors, jaksa
protesindonesia, protes indonesia
psikismentalitas, psikis mentalitas
puasakaburajadulu, puasa kabur aja dulu
pulangajadulu, pulang aja dulu
pulangpulang, pulang-pulang
purnawirawan, purnawirawan
putraputrinya, putra-putrinya
questioning, mempertanyakan
quotesmotivasi, quotes motivasi
quotesstory, quotes story
rakyaetmelawan, rakyat melawan  
rakyatjelita, rakyat jelita
rakyatlahudah, rakyatlah udah  
rakyatmiskin, rakyat miskin
rakyatnyaehhh, rakyatnya ehhh
rakyatsuara, rakyat suara
ramadanekstraseru, ramadan extra seru
ramadanmubarak, ramadan mubarak
ramadanmubarakbulansutenaviral, ramadan mubarak bulan sutena viral
random, acak
rangkapannya, rangkapannya
realisasiin, realisasikan  
realisasikan, realisasikan
realistically, secara realistis
realistisnya, realistisnya
really, sungguh
recruitment, rekrutmen
reformasinya, reformasinya
registrationlink, registration link
reinkarnasinya, reinkarnasinya
rekeningbanksingapura, rekening bank singapura
rekomendasi, rekomendasi
rekomendasikan, rekomendasikan
rekomendasiwattpad, rekomendasi wattpad
rempahrempah, rempah-rempah
renjunlopersss, renjun lopersss  
replacement, penggantian
requirement, persyaratan
revelations, wahyu
rintikrintik, rintik-rintik
ripakalsehat, rip akal sehat
ritsumeikan, ritsumeikan  
romanticize, meromantisasi
rotigembongyagembonggedhe, roti gembong ya gembong besar  
rumahsekolahtoko, rumah sekolah toko
rumputtetangga, rumput tetangga
rusiasementara, rusia sementara
safertogether, safe together
sajasedangakan, saja sedangakan  
sakitsakitan, sakit-sakitan
sakpanunggale, sak panunggale  
saldogratis, saldo gratis
salingmenjaga, saling menjaga
sambalindonesia, sambal indonesia
sambungsambungin, sambung-sambungin  
sangkuriang, sangkuriang
sarjanapenggerakpembangunan, sarjana penggerak pembangunan
satusatunya, satu-satunya
saudarasaudara, saudara-saudara
savekipkuliah, save kip kuliah
saverajaampat, save raja ampat
scandinavian, skandinavia
scholarship, beasiswa
scholarships, beasiswa
screenshoot, screenshot  
scrollscroll, scroll-scroll
sebanyakbanyaknya, sebanyak-banyaknya
sebanyaknya, sebanyaknya
sebegitunya, sebegitunya
sebenarbenarnya, sebenar-benarnya
sedesperate, sedesparate  
seeehhhhhhmana, seehhh mana  
seenggaknya, seenggaknya
sefrekuensi, sefrekuensi
segaenakeun, sega enakeun  
segerakabur, segera kabur
sehijauhijaunya, sehijauh-jauhnya
seindonesia, se-indonesia
sekaburkaburnya, se-kabur-kaburnya
sekencangkencangnya, se-kencang-kencangnya
sekolahcourse, sekolah course
sekolahkechina, sekolah ke china
sekolahkerja, sekolah kerja
selamaaaaat, selamat
selamatpagit, selamat pagi
selanjutnya, selanjutnya
seldarosita, selda rosita  
selengkapnya, selengkapnya
selewengkan, selewengkan
selflearning, self learning
selfreflection, self reflection
selingkuhan, selingkuhan
semangatkaburajadulu, semangat kabur aja dulu
semangatnya, semangatnya
semangattttttt, semangat
sembarangan, sembarangan
sembunyiiiii, sembunyiiiii  
sembunyinya, sembunyinya
sembunyisembunyi, sembunyi-sembunyi
semenakutkan, semenakutkan  
semencemaskan, semencemaskan  
semengerikan, semengerikan  
semenyedihkan, semenyedihkan  
semiotikanya, semiotikanya
senengseneng, seneng-seneng  
sengangenin, sengangenin  
sentosakarya, sentosa karya  
senusantara, se-nusantara
senyamsenyum, senyam-senyum
sepakatkaburajadulu, sepakat kabur aja dulu
separohseparoh, separoh-separoh
sepedajalan, sepeda jalan
sepemikiran, sepemikiran
sepengalaman, sepengalaman
sepeninggal, sepeninggal
seperangkat, seperangkat
seperjuangan, seperjuangan
seperrsjanku, seperrsjanku  
seprivileged, se privileged
seprivillege, se privilege  
sertifikasi, sertifikasi
serunyaberbagi, serunya berbagi
seruuuuuuuwwwwwkaburajadulu, seruuu kabur aja dulu
sesungguhnya, sesungguhnya
setingginya, setingginya
setujukabur, setuju kabur
shakirravier, shakir ravier  
shanghaiguangzoujakarta, shanghai guangzhou jakarta
shock, syok
shopeefinds, shopee finds
siappilihan, siap pilihan
silahturahmi, silaturahmi
silaturahmi, silaturahmi
silaturrahim, silaturahim  
simplelogic, simple logic
singaporean, singapura
singapuradisana, singapura disana
sitolakruutni, si tolak ruu tni  
situationship, situationship  
slingkuhannya, slingkuhannya  
socioeconpolitical, socio econ political
softskillmu, soft skillmu
solusipebisniscerdas, solusi pebisnis cerdas
songkranctwxfb, songkran ctw x fb  
sorotanpublik, sorotan publik
sorry, maaf
sosialisasi, sosialisasi
southeastasia, asia tenggara
spadegaming, spade gaming
spesialisasi, spesialisasi
spesifiknya, spesifiknya
sponsorship, sponsorship
springanimebstationanime, spring anime bstation anime
stakeholder, pemangku kepentingan
standupcomedy, standup comedy
starmanifesting, star manifesting
startupindonesia, startup indonesia
startupsingapura, startup singapura
statementnya, statementnya
staydanbelajardulu, stay dan belajar dulu
staysafebandung, stay safe bandung
stopbinancealpha, stop binance alpha
stophumantrafficking, stop human trafficking
stresskebanyakan, stress kebanyakan
stressrefly, stress refly  ?
strugglenya, strugglenya
studyabroad, study abroad
studyinhongkong, study in hongkong
studyinkorea, study in korea
studyinspain, study in spain
subhanallah, subhanallah
subiaktobukansubiaja, subiak to bukan subi aja  
suffocating, suffocating
suksesdiluarnegeri, sukses di luar negeri
superiority, superioritas
supermarket, supermarket
supermviews, super mviews  
supersoccer, super soccer
supervision, supervisi
supremacist, supremasis
supremasisipil, supremasi sipil
sure, pasti
sustainable, berkelanjutan
sweettoothgooddentistep, sweet tooth good dentist ep  
switzerland, swiss
syukursyukur, syukur-syukur
tabungannya, tabungannya
tahantahanin, tahan-tahanin  
taiwanchina, taiwan china
takamurauzuki, takamura uzuki  
takutdiajaktukarpikiran, takut diajak tukar pikiran
takutdirujak, takut dirujak
tanahairkuindonesia, tanah airku indonesia
tandingannya, tandingannya
tanduranamp, tanduran amp  
tantangannya, tantangannya
tanyagroklagi, tanya grok lagi  
tarifpesawat, tarif pesawat
tarikduluaja, tarik dulu aja
taruhanonlinegacor, taruhan online gacor
tauniversity, ta university  
telantarkan, telantarkan
temansejati, teman sejati
tementemenku, temen-temenku  
tempurungmu, tempurungmu
tenanggggggg, tenang
terakhirnya, terakhirnya
teraysensei, teray sensei  
terbayangkan, terbayangkan
terbelakang, terbelakang
tercerahkan, tercerahkan
tercetusnya, tercetusnya
tercintaahhh, tercinta ahhh  
terealisasi, terealisasi
terealisasikan, terealisasikan
tergantikan, tergantikan
tergelantar, tergelantar
teriakteriak, teriak-teriak
teriaktutup, teriak tutup
terimakasih, terima kasih
terimakasihorangbaik, terima kasih orang baik
terimakasii, terima kasih  
terinspirasi, terinspirasi
terjadiinvestor, terjadi investor
terlindungi, terlindungi
termotivasi, termotivasi
ternakannya, ternakannya
ternyungsep, ternyungsep  
terpengaruh, terpengaruh
terperangkap, terperangkap
terrrooooosssss, terrrooosss  
tersalurkan, tersalurkan
tersampaikan, tersampaikan
tersediaasrama, tersedia asrama
terselubung, terselubung
tersembunyi, tersembunyi
tersinggung, tersinggung
tertunaikan, tertunaikan
terutamanya, terutamanya
terverifikasi, terverifikasi
teswawancara, tes wawancara
tetangganya, tetangganya
thank, terima kasih
thought, pikiran
throwermercenary, thrower mercenary  
thunderbolts, thunderbolts  
tiarapngumpet, tiarap ngumpet
tidakmampukabur, tidak mampu kabur
tiktokviral, tiktok viral
timelinechaos, timeline chaos
timelinenya, timelinenya
timnasindonesia, timnas indonesia
tinggikecuali, tinggi kecuali
tinggikumpulkan, tinggi kumpulkan  
tinggitinggi, tinggi-tinggi
tipskerjaluarnegeri, tips kerja luar negeri
tired, lelah
titiknolenglish, titik nol english
tobiconstruction, tobi construction  
today, hari ini
toeflpreparation, toefl preparation
tokuteiginou, tokutei ginou  
tolakdwifungsiabri, tolak dwi fungsi abri
tolakrevisiuutni, tolak revisi uu tni
tolakruukejaksaan, tolak ruu kejaksaan
tolakruupolri, tolak ruu polri
tolakruutni, tolak ruu tni
tolaktmtserentak, tolak tmt serentak
tolongviralin, tolong viralin  
tongkrongan, tongkrongan
traderindonesia, trader indonesia
trafficking, trafficking
traffucking, traffucking  ?
transfernya, transfernya
transformasi, transformasi
transparency, transparansi
transportasi, transportasi
trendingnews, trending news
trendingnow, trending now
triiiiinggg, triiing  
true, benar
tuberculosis, tuberkulosis
tukangtradie, tukang tradie  
tulungagung, tulungagung  
tungtungsahur, tungtung sahur
tungtungtung, tung tung tung  
tuntasmayapadacurang, tuntas mayapada curang
turunkanuktptn, turunkan ukt ptn  
tutorialnya, tutorialnya
tweet, tweet
udahkaburbelum, udah kabur belum
udahkaburblum, udah kabur blum  
ujungujungnya, ujung-ujungnya
ukrainarusia, ukraina rusia
unbelieveable, unbelievable  
underestimate, meremehkan
undergraduate, sarjana
undikaburajadulu, undikabur aja dulu  
unemployment, pengangguran
unfavorable, tidak menguntungkan
unitednations, perserikatan bangsa-bangsa
universitas, universitas
universitasnya, universitasnya
unnecessary, tidak perlu
upgradeskillmu, upgrade skillmu
ussgjapanyurop, ussg japan yurop  
usutmayapada, usut mayapada
vapeindonesia, vape indonesia
verifikasinya, verifikasinya
very, sangat
videoampunpakde, video ampun pakde
videoindonesiagelap, video indonesia gelap
viralbanget, viral banget
viralcontent, viral content
viralindonesia, viral indonesia
viralterbaru, viral terbaru
viralvideos, viral videos
visitdenmark, visit denmark
visitgalaxystudio, visit galaxy studio
visualfriendly, visual friendly
vlogkeluarga, vlog keluarga
wadidawwwww, wadidaw  
waktunyacuk, waktunya cuk  
wallahualam, wallahu alam
wamenakertrans, wamenakertrans  
wanprestasi, wanprestasi  
wardahcolorfitstudio, wardah colorfit studio
wardahsymradiance, wardah sym radiance
warganegara, warga negara
wargataserbublt, warga taserbu blt  
wattpadrekomendasi, wattpad rekomendasi
webcommunity, web community
weekend, akhir pekan
weekendvibes, weekend vibes
welcomebabyl, welcome baby l  
westernaustralia, western australia
westernisasi, westernisasi
whatsapptlp, whatsapp telpon  
whatshappening, what's happening
whenlifegivesyoutangerines, when life gives you tangerines
wiaindonesia, wia indonesia
winterchang, winter chang  
wkasksakask, wk asksakask  
wkkwkwkwkww, wkwkwk  
wkwkakwoksjwkwkwkk, wkwkwk  
wkwksksksks, wkwksksks  
wkwkwkbener, wkwkwk bener
wkwkwkkekekekekekekkekek, wkwkwk  
wkwkwkkwkwkwk, wkwkwk  
wkwkwkwkkkk, wkwkwk  
wkwkwkwkkwkwkwkwkwkwkwkwkwk, wkwkwk  
wkwkwkwkkwwkwkwk, wkwkwk  
wkwkwkwkwkwk, wkwkwk  
wkwkwkwkwkwkw, wkwkwk  
wkwkwkwkwkwkwk, wkwkwk  
wkwkwkwkwkwwkk, wkwkwk  
wnikaburajadulu, warga negara indonesia kabur aja dulu
woakwoakoakak, woakwoakoakak  
wonderfulindonesia, indahnya indonesia
workfromanywhere, kerja dari mana aja
wow, wow  
wownampaknya, wow nampaknya
writteninaction, menulis dalam aksi
wwwwww, w
xiixixixixixi, xixixi  
xxxxxxxxxx, x
yakaburajadulu, ya kabur aja dulu
yearstoforeversvt, years to forever svt  
yes, ya
yntktshestek, yntktshestek  
yordaniangapain, yordania ngapain  
yuhuuuuuuuuu, yuhuu  
zonabelajar, zona belajar
zsoltzsemba, zsolt zsemba  
zzuperrrrrr, super  
